session_pdf_url,session_year,session_date,session_pdf_text_path,session_pdf_download_status,proposal_name_from_session,proposal_gov_link,voting_details_json,session_parse_status,proposal_authors_json,proposal_document_url,proposal_document_type,proposal_document_local_path,proposal_doc_download_status,proposal_details_scrape_status,proposal_summary_general,proposal_summary_analysis,proposal_summary_fiscal_impact,proposal_summary_colloquial,proposal_category,proposal_summarize_status,proposal_approval_status,proposal_short_title,proposal_proposing_party,overall_status,last_error_message,last_processed_timestamp
https://app.parlamento.pt/WebUtils/docs/doc.pdf?Path=oaiKxMvmy4nP320fSI6cf3OpYazLEoYWrnq2NxpJVgmkP6nLc6lVLoVAKDMA5QtjInG4pSgyQteUpe1LtcADbdxCJcOExN30qeLr6kSs21gBwzE8G0l7ZwehCrrYxLcH51E8E7tLfGL0tswBAGMox53wzhXfnQ5NKx71UkVDM2JKtFSuLgMNdICvQkS8rtGXyQE5x8zLEPSdy9Pkr6yCeuch6XkT89RuA%2fHQG8be%2bpkxDL54ttxqQ7tyHnr9ko1tdPGZFNEInOetmjcAptA9wKJSDCARjlqxgy4HdHExsVY3QqylvOuBFF4t1D9y9sHwXVWRV%2f1jCLYBcqgLQXHmvKkYJthjSvWvcKG4N134GPwwGZ8kqI60U8LEAUJAI03cTsqSR0UrvhtSTSCHB3IyEHhUwe4RGVwPVdza5OPcw6U%3d&Fich=XIII_1_23_2016-01-08_2016-01-08.pdf&Inline=true,2016,2016-01-08,,Success,,,,Error,,,,,,,,,,,,,,,,Error - Session Parse Failed,Session PDF parsing error: No proposals found in any partition,2025-06-12T15:38:20.227081
https://app.parlamento.pt/WebUtils/docs/doc.pdf?Path=2FnhFmsPaWFCd8k4IuVtUNRPawl5Zi7UBkllZ6eP1VZwQHO7CCn8UeKpzvoVmTapTqWidqsg1VIjxvq2IjJ5OefSPHscOx1ftIpjlgF%2f9CfSqc9XTrdz6dk0H81EcDT%2bueIRg921eL06%2f7ohuH4WouH4lwMKC9MwYPrzSzbpU7L4ERCYPV5TZkvALPQFQ5h0JgGtRMIYApySN0Xc7cehgb5lUzdPQn6OEXkDs8pbi3ROOpFCyx9xL4FX7DA6CIuz%2bC1%2bZ9EA%2fOaNosen367HiYy2WkQsj2UI22FdWOCmqAW3PM2chE03UySpm1vKmdzjI1BW%2bmN1Xlx00oQ1wuWv91tiJt7Ez2XClDmHGcCS1djpRs5YlZLZ0geBm%2bVjybsh3nX0ptROC8yzgFponCrv14wzne7Ptn7SjL5vC1f9OOA%3d&Fich=XIII_1_26_2016-01-15_2016-01-15.pdf&Inline=true,2016,2016-01-15,,Success,,,,Error,,,,,,,,,,,,,,,,Error - Session Parse Failed,Session PDF parsing error: No proposals found in any partition,2025-06-12T15:38:20.792379
https://app.parlamento.pt/WebUtils/docs/doc.pdf?Path=ee0bVZIuIQ6%2bpQvSHx7uaTwD%2bUdofjq6K7PBNr10bS0gbHiMFjdmE8McCeUBvzd8RBRuIeaofFpmysmBD7lGGS3VUZM6ZY7PXj6DbSmHOV%2fC3eDbl3HkLsjJvKRkv2HFjAFYyx%2bX3NTUtMDi%2fbcAA8WAoHrqkVcJY0OUPwYohJfe3YL1X9N7v7khhQp0wAXMUFPWqQE7%2f2Yr37MVNxxHnytJp1UCXgmbts9M6bOb36d1x3FeorxeXelKiEor1hU9%2b9uWvvgVLc4JNOUU%2fMN4UH7plPWmEJcciJpBS6S6LC3DNfcKRNw9u7A4s%2fr4ZCxksmRpvy5wVux9OFdZeyy4VJYGisx7%2bG6uqyBrcup1rQdw3%2b15srNGQ6ZlT6W4eLlaa3iuLCkWh7n7anZuhf5NcFwJGeovDzZUDCMIVXkNR4EKbfRjRxnwoxUk0HYihwbe&Fich=XIII_1_29_2016-01-22_2016-01-22.pdf&Inline=true,2016,2016-01-22,,Success,,,,Error,,,,,,,,,,,,,,,,Error - Session Parse Failed,Session PDF parsing error: No proposals found in any partition,2025-06-12T15:38:21.571826
https://app.parlamento.pt/WebUtils/docs/doc.pdf?Path=B%2fE3DSczSY6NLcTvDu%2fvNQ0I6TXqNJ6qqByJPY%2bhfJPsVpB1D0QcCNgO0P4R26FXJXMKFgiUfWUuhuPxJjWWyDxcqez8jHHC0txhXPSNz3XMIPqFoVJWULK18YfKZsnDNcxK7IVjgX8pWADY%2bixm%2bja4xzK0cduCpT9A9i1%2flAW5AnqCp5gfr2H5A5yRPzh81%2f%2fA1q3HvSQW%2fZTDRkJ42egoGJ5NI6EcuOtOgo8aHRvK8f9GDRU6QTsDhHVbNbQ4nhpafkTplprUez3LoMadkdQOXZXLqtIc9mBLQJf2glj6LKadxFG2uZV8wqmEIyihR%2bAsL4TKtWdEJDKr8Ln1zhFnTilL8KM6mN4UTcOoHExp8JFyNCH27An2E8D8mjhWkhGkWrh4IUZXsfkGbT4Ypw%3d%3d&Fich=XIII_1_32_2016-02-01_2016-01-29.pdf&Inline=true,2016,2016-01-29,,Success,PROPOSTA 1,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063446f764c324679626d56304c334e706447567a4c31684a53556c4d5a5763765247396a6457316c626e52766330466a64476c32615752685a47565159584a735957316c626e5268636938354d54673159324979597930794d32566a4c5451345a5449745954526c4d6930334e7a63325a5451354d574a6c4d5463755a47396a65413d3d&fich=9185cb2c-23ec-48e2-a4e2-7776e491be17.docx&Inline=true,,Success,[],,,,Skipped - No Document Link,Success (No Document Link Found),,,,,,,,,,Error - Proposal Details Scrape Failed,Proposal details scrape/download error: No downloadable document link (PDF/DOCX/DOC) found on proposal page.,2025-06-12T15:38:22.017761
https://app.parlamento.pt/WebUtils/docs/doc.pdf?Path=B%2fE3DSczSY6NLcTvDu%2fvNQ0I6TXqNJ6qqByJPY%2bhfJPsVpB1D0QcCNgO0P4R26FXJXMKFgiUfWUuhuPxJjWWyDxcqez8jHHC0txhXPSNz3XMIPqFoVJWULK18YfKZsnDNcxK7IVjgX8pWADY%2bixm%2bja4xzK0cduCpT9A9i1%2flAW5AnqCp5gfr2H5A5yRPzh81%2f%2fA1q3HvSQW%2fZTDRkJ42egoGJ5NI6EcuOtOgo8aHRvK8f9GDRU6QTsDhHVbNbQ4nhpafkTplprUez3LoMadkdQOXZXLqtIc9mBLQJf2glj6LKadxFG2uZV8wqmEIyihR%2bAsL4TKtWdEJDKr8Ln1zhFnTilL8KM6mN4UTcOoHExp8JFyNCH27An2E8D8mjhWkhGkWrh4IUZXsfkGbT4Ypw%3d%3d&Fich=XIII_1_32_2016-02-01_2016-01-29.pdf&Inline=true,2016,2016-01-29,,Success,PROPOSTA 2,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063446f764c324679626d56304c334e706447567a4c31684a53556c4d5a5763765247396a6457316c626e52766330466a64476c32615752685a47565159584a735957316c626e52686369387a4e4459304e545a6b4e43316c4e445a6a4c54526c595455744f544d354e4330335a4463304d7a6b314f5745784e4445755a47396a65413d3d&fich=346456d4-e46c-4ea5-9394-7d743959a141.docx&Inline=true,,Success,[],,,,Skipped - No Document Link,Success (No Document Link Found),,,,,,,,,,Error - Proposal Details Scrape Failed,Proposal details scrape/download error: No downloadable document link (PDF/DOCX/DOC) found on proposal page.,2025-06-12T15:39:51.443380
https://app.parlamento.pt/WebUtils/docs/doc.pdf?Path=B%2fE3DSczSY6NLcTvDu%2fvNQ0I6TXqNJ6qqByJPY%2bhfJPsVpB1D0QcCNgO0P4R26FXJXMKFgiUfWUuhuPxJjWWyDxcqez8jHHC0txhXPSNz3XMIPqFoVJWULK18YfKZsnDNcxK7IVjgX8pWADY%2bixm%2bja4xzK0cduCpT9A9i1%2flAW5AnqCp5gfr2H5A5yRPzh81%2f%2fA1q3HvSQW%2fZTDRkJ42egoGJ5NI6EcuOtOgo8aHRvK8f9GDRU6QTsDhHVbNbQ4nhpafkTplprUez3LoMadkdQOXZXLqtIc9mBLQJf2glj6LKadxFG2uZV8wqmEIyihR%2bAsL4TKtWdEJDKr8Ln1zhFnTilL8KM6mN4UTcOoHExp8JFyNCH27An2E8D8mjhWkhGkWrh4IUZXsfkGbT4Ypw%3d%3d&Fich=XIII_1_32_2016-02-01_2016-01-29.pdf&Inline=true,2016,2016-01-29,,Success,PROPOSTA 3,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063446f764c324679626d56304c334e706447567a4c31684a53556c4d5a5763765247396a6457316c626e52766330466a64476c32615752685a47565159584a735957316c626e5268636938775954426c5a4463334e69316b5a44426b4c5451344d474574596a51335a69316d5a5445324e574d304d7a686b4e5749755a47396a65413d3d&fich=0a0ed776-dd0d-480a-b47f-fe165c438d5b.docx&Inline=true,,Success,[],,,,Skipped - No Document Link,Success (No Document Link Found),,,,,,,,,,Error - Proposal Details Scrape Failed,Proposal details scrape/download error: No downloadable document link (PDF/DOCX/DOC) found on proposal page.,2025-06-12T15:39:55.037444
https://app.parlamento.pt/WebUtils/docs/doc.pdf?Path=B%2fE3DSczSY6NLcTvDu%2fvNQ0I6TXqNJ6qqByJPY%2bhfJPsVpB1D0QcCNgO0P4R26FXJXMKFgiUfWUuhuPxJjWWyDxcqez8jHHC0txhXPSNz3XMIPqFoVJWULK18YfKZsnDNcxK7IVjgX8pWADY%2bixm%2bja4xzK0cduCpT9A9i1%2flAW5AnqCp5gfr2H5A5yRPzh81%2f%2fA1q3HvSQW%2fZTDRkJ42egoGJ5NI6EcuOtOgo8aHRvK8f9GDRU6QTsDhHVbNbQ4nhpafkTplprUez3LoMadkdQOXZXLqtIc9mBLQJf2glj6LKadxFG2uZV8wqmEIyihR%2bAsL4TKtWdEJDKr8Ln1zhFnTilL8KM6mN4UTcOoHExp8JFyNCH27An2E8D8mjhWkhGkWrh4IUZXsfkGbT4Ypw%3d%3d&Fich=XIII_1_32_2016-02-01_2016-01-29.pdf&Inline=true,2016,2016-01-29,,Success,PROPOSTA 4,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063446f764c324679626d56304c334e706447567a4c31684a53556c4d5a5763765247396a6457316c626e52766330466a64476c32615752685a47565159584a735957316c626e5268636938304e546c6c596a63794d43303159574d334c54517a5a6d51744f5467344d7930315a47566a4f5455324d7a41344e5459755a47396a65413d3d&fich=459eb720-5ac7-43fd-9883-5dec95630856.docx&Inline=true,,Success,[],,,,Skipped - No Document Link,Success (No Document Link Found),,,,,,,,,,Error - Proposal Details Scrape Failed,Proposal details scrape/download error: No downloadable document link (PDF/DOCX/DOC) found on proposal page.,2025-06-12T15:39:55.792023
https://app.parlamento.pt/WebUtils/docs/doc.pdf?Path=B%2fE3DSczSY6NLcTvDu%2fvNQ0I6TXqNJ6qqByJPY%2bhfJPsVpB1D0QcCNgO0P4R26FXJXMKFgiUfWUuhuPxJjWWyDxcqez8jHHC0txhXPSNz3XMIPqFoVJWULK18YfKZsnDNcxK7IVjgX8pWADY%2bixm%2bja4xzK0cduCpT9A9i1%2flAW5AnqCp5gfr2H5A5yRPzh81%2f%2fA1q3HvSQW%2fZTDRkJ42egoGJ5NI6EcuOtOgo8aHRvK8f9GDRU6QTsDhHVbNbQ4nhpafkTplprUez3LoMadkdQOXZXLqtIc9mBLQJf2glj6LKadxFG2uZV8wqmEIyihR%2bAsL4TKtWdEJDKr8Ln1zhFnTilL8KM6mN4UTcOoHExp8JFyNCH27An2E8D8mjhWkhGkWrh4IUZXsfkGbT4Ypw%3d%3d&Fich=XIII_1_32_2016-02-01_2016-01-29.pdf&Inline=true,2016,2016-01-29,,Success,PROPOSTA 5,http://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=40016,,Success,[],https://app.parlamento.pt/webutils/docs/doc.pdf?path=wEki4p%252bfVsS1lIMaswoG0NBq1lfpVfLOtCrcOpVg1x0nAkdH6ldCDcIhyJwkSa84Dlykko5%252bZq368U4KTO0Pu5m6AxV%252b8Y7v9y6IRoiXwL%252bW0gTQHdG9cSPjjzhbGeg%252fUrSvrJVZ0EPfT82LxgB8%252bQsILpQNNBAVzX1QbdHwnSrBulsDlBcxy6LOxSyp6QZzHFDl%252bVbiP1QX8QmmYxRcIQ1qeVpLe230g3809PA4s4dAFiuUVIer73TcXevfzX7csLqkeXIPlmAQW1LtguTGLRQx5KMLHW%252bBrVi%252bfsaB1GVGlDC6APtsHizL4GWr0Kv3T%252bOWy%252fLM0tsNcnpFhjbKq6xm1n2Gu5HR5jB4HonRrds%253d&fich=536a4d1c-1225-4e21-80c9-5680d8bce416.doc&Inline=true,PDF,data/proposal_docs/proposal_40016_formato_PDF.pdf,Success,Success (Document Downloaded),"Esta proposta define a estrutura e a constituição dos Grupos Parlamentares de Amizade (GPAs) para a XIII Legislatura em Portugal. Estabelece uma lista de países com os quais Portugal manterá grupos de amizade bilaterais e um grupo multilateral, com base em critérios como a língua oficial comum, proximidade geográfica, laços históricos e económicos, comunidades portuguesas no estrangeiro e importância geopolítica. O documento detalha igualmente o número de membros de cada GPA, a sua distribuição pelos diferentes grupos parlamentares e as regras para a atribuição das presidências e vice-presidências desses grupos.","O documento em análise é uma deliberação parlamentar de caráter organizacional, que visa formalizar e otimizar a estrutura dos Grupos Parlamentares de Amizade (GPAs). As especificações sobre a composição (número de membros e distribuição por partidos) e a gestão (distribuição de presidências e vice-presidências) alinham-se diretamente com o objetivo de assegurar um funcionamento coerente e representativo destes grupos. Os critérios definidos para a seleção dos países (língua, laços históricos/económicos, comunidades e importância geopolítica) são lógicos e adequados para fundamentar as prioridades da diplomacia parlamentar portuguesa. Não se identificam inconsistências entre os detalhes de implementação e o propósito global da proposta, que é o de fortalecer as relações institucionais com parlamentos de outros países.","Esta proposta tem um impacto fiscal considerado negligenciável ou mínimo. Sendo essencialmente uma deliberação de caráter organizacional e processual, não introduz novas despesas substanciais nem fontes de receita para o orçamento do Estado. As atividades inerentes aos Grupos Parlamentares de Amizade (como eventuais viagens ou suporte administrativo) são, na sua maioria, já contempladas no orçamento geral da Assembleia da República. Assim, espera-se que não haja um aumento ou diminuição significativa da despesa ou da receita pública, e o efeito líquido nas finanças governamentais será residual, absorvido pelas operações regulares do parlamento.","Este papel é tipo as regras para criar os ""clubes de amigos"" do Parlamento português com deputados de outros países. Diz com que países vamos ter estes grupos, quantos deputados de cada partido podem participar em cada clube, e como é que se decide quem é o presidente ou o vice-presidente. É mais para organizar a casa e facilitar a vida aos nossos deputados quando querem falar e trabalhar com políticos de outros sítios.",[10],Success,,Organização dos Grupos Parlamentares de Amizade,,Success,,2025-06-12T15:39:56.583538
https://app.parlamento.pt/WebUtils/docs/doc.pdf?Path=B%2fE3DSczSY6NLcTvDu%2fvNQ0I6TXqNJ6qqByJPY%2bhfJPsVpB1D0QcCNgO0P4R26FXJXMKFgiUfWUuhuPxJjWWyDxcqez8jHHC0txhXPSNz3XMIPqFoVJWULK18YfKZsnDNcxK7IVjgX8pWADY%2bixm%2bja4xzK0cduCpT9A9i1%2flAW5AnqCp5gfr2H5A5yRPzh81%2f%2fA1q3HvSQW%2fZTDRkJ42egoGJ5NI6EcuOtOgo8aHRvK8f9GDRU6QTsDhHVbNbQ4nhpafkTplprUez3LoMadkdQOXZXLqtIc9mBLQJf2glj6LKadxFG2uZV8wqmEIyihR%2bAsL4TKtWdEJDKr8Ln1zhFnTilL8KM6mN4UTcOoHExp8JFyNCH27An2E8D8mjhWkhGkWrh4IUZXsfkGbT4Ypw%3d%3d&Fich=XIII_1_32_2016-02-01_2016-01-29.pdf&Inline=true,2016,2016-01-29,,Success,PROPOSTA 6,http://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=39988,,Success,[],https://app.parlamento.pt/webutils/docs/doc.pdf?path=Q0bnIj3nPuYJgm%252fphpt6SVql82hBB8mn1wRy4KECm5h0bIKLIpowigafijhqd27nPjM0tZCpsbWoKsJMoUwIS90q9PisRFFcnvtWD47TYetxENbjB6%252b8tpdgwvfAhwQhv1lOeeV%252bs0W%252bvGyxvewip22RbKYtdCGIHwNcrDoNP66IDLn6F4Lg1Dmxo15zPS7YUSsHsvM57gFnQuoBG06enGyXvGyHzg2OvgOdQZh%252f9wb01O7e8%252bkid3gfjIQiHD8z5jt44LockKA2N6HZmd44Q2XoiMaOY5Kzz%252f%252bei0%252bt8GbyYHayetQQwuPSZn5QxzXukJD8gsLoj7a5bELohdfl8izDPs6pev8mLEP7W3fNbTVHN2XGtjjq8YphU%252fenB27v&fich=0d6e64e1-c422-49a2-bd36-ab8f8db95267.doc&Inline=true,PDF,data/proposal_docs/proposal_39988_formato_PDF.pdf,Success,Success (Document Downloaded),"Esta proposta governamental visa alterar a Lei n.º 53-B/2006, de 29 de dezembro, para garantir que as pensões mínimas, pensões sociais e pensões rurais sejam anualmente atualizadas de acordo com a taxa de inflação prevista para o ano seguinte. O objetivo é assegurar que os pensionistas com rendimentos mais baixos não percam poder de compra, uma vez que o método de atualização atual, que se baseia em indicadores passados ou em previsões mais conservadoras, tem resultado em aumentos reais inferiores à inflação, prejudicando a situação económica destes beneficiários.","O documento critica a metodologia atual de atualização das pensões, que utiliza como referência a inflação registada no período anterior ou previsões que se revelam abaixo da inflação real, resultando numa perda efetiva de poder de compra para os pensionistas mais vulneráveis. A proposta alinha-se diretamente com o objetivo de corrigir esta situação, propondo que a atualização seja feita com base na taxa de inflação prevista para o ano seguinte no Orçamento do Estado e prevendo um acerto caso a inflação registada seja superior. Esta abordagem garante a salvaguarda do poder de compra, endereçando de forma coerente a falha identificada no sistema atual. O texto sublinha exemplos históricos de aumentos abaixo da inflação e até congelamento de pensões, reforçando a necessidade da alteração proposta.","Esta proposta implicará um aumento do gasto público com as pensões, uma vez que defende um aumento das pensões mínimas, sociais e rurais ao nível da inflação prevista, o que é superior aos aumentos atualmente praticados ou previstos. Por exemplo, para 2016, prevê-se um aumento de 1,5% em vez dos 0,4% propostos pelo Governo, resultando em valores mensais mais altos para os beneficiários. O documento não prevê medidas diretas para aumentar as receitas do Estado. O efeito líquido será, portanto, um aumento da despesa governamental no âmbito da Segurança Social, sem indicação de contrapartidas orçamentais, o que pode representar um encargo adicional para o orçamento do Estado, a menos que se proceda a cortes noutras despesas, como sugerido pela parte proponente.","Esta proposta é para que as pensões mais baixas (aquelas mínimas, sociais e rurais) não fiquem 'mais pobres' por causa da subida dos preços. Basicamente, o CDS-PP quer que estas pensões subam sempre, pelo menos, o mesmo que aquilo que se prevê que os preços vão subir no ano seguinte. É que, com as regras de agora, muitas vezes o aumento é tão baixo que os pensionistas acabam por perder dinheiro. É uma questão de justiça para as pessoas que já vivem com muito pouco.","[5, 4]",Success,,Atualização de Pensões Mínimas e Sociais com Inflação,CDS-PP,Success,,2025-06-12T15:40:18.875636
https://app.parlamento.pt/WebUtils/docs/doc.pdf?Path=B%2fE3DSczSY6NLcTvDu%2fvNQ0I6TXqNJ6qqByJPY%2bhfJPsVpB1D0QcCNgO0P4R26FXJXMKFgiUfWUuhuPxJjWWyDxcqez8jHHC0txhXPSNz3XMIPqFoVJWULK18YfKZsnDNcxK7IVjgX8pWADY%2bixm%2bja4xzK0cduCpT9A9i1%2flAW5AnqCp5gfr2H5A5yRPzh81%2f%2fA1q3HvSQW%2fZTDRkJ42egoGJ5NI6EcuOtOgo8aHRvK8f9GDRU6QTsDhHVbNbQ4nhpafkTplprUez3LoMadkdQOXZXLqtIc9mBLQJf2glj6LKadxFG2uZV8wqmEIyihR%2bAsL4TKtWdEJDKr8Ln1zhFnTilL8KM6mN4UTcOoHExp8JFyNCH27An2E8D8mjhWkhGkWrh4IUZXsfkGbT4Ypw%3d%3d&Fich=XIII_1_32_2016-02-01_2016-01-29.pdf&Inline=true,2016,2016-01-29,,Success,PROPOSTA 7,http://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=40004,,Success,[],https://app.parlamento.pt/webutils/docs/doc.pdf?path=%252bPX5KbcC9WB6CGoT7nCX85sGlJ9L88jIGgUBG3SSBCuUmSb%252fcxW%252bIE4%252ftkcQe5TlvHLLWi37T%252bKbb%252fRcXNhku0ZNRKSoBMCLUKwSjTMURCD0%252bolChGS%252blhj7O0%252fVAf66RrNNMtV9iw%252bAO9bQECNRQbubt6cb1x4w6bq029aSRTdY98slQlHVl%252fBf9L6veD%252fndZtjcnDssuYq5M3GgVdMUkcdz1O0SiatI8fr4y3dOHZexkLtQStP%252bSfV9gTGL1dfY7WVd42rJeSGmiyT0s8yPzYM2%252f4LSTVgHhzdCb4fAQxVKbb0KeMqF5zRXBTHlsE4jffvVtOH79YTA6wuXYRRPdvw93y5lW3PM4G%252bWaXlRhI%253d&fich=97f94b38-3376-4c9d-bd1e-74c373172480.doc&Inline=true,PDF,data/proposal_docs/proposal_40004_formato_PDF.pdf,Success,Success (Document Downloaded),"Esta proposta do Partido Social Democrata (PSD) visa alterar as regras de atualização das pensões mais baixas em Portugal. O objetivo principal é garantir que o valor destas pensões seja ajustado anualmente não apenas com base na inflação prevista no Orçamento de Estado, mas que seja corrigido para corresponder à inflação efetiva caso esta seja superior. A medida pretende proteger o poder de compra de cerca de um milhão de pensionistas mais vulneráveis e combater as desigualdades sociais, criticando políticas anteriores que levaram à perda de valor das pensões.","O documento adota uma postura abertamente crítica em relação às políticas dos governos socialistas, tanto passados (congelamento de pensões em 2011) quanto presentes (atualização das pensões com base em inflação subestimada para 2016), e elogia a atuação do governo PSD/CDS em salvaguardar as pensões mais baixas. A proposta central de corrigir o valor das pensões mínimas caso a inflação real ultrapasse a previsão inicial está diretamente alinhada com o objetivo declarado de proteger o poder de compra dos pensionistas e combater a desigualdade. Os detalhes de implementação, nomeadamente a alteração dos Artigos 6º e 7º da Lei n.º 53-B/2006, estabelecem um mecanismo claro para essa correção, demonstrando coerência entre o objetivo e os meios propostos para alcançá-lo. Não são identificadas inconsistências internas na lógica da proposta em si, embora a justificação seja fortemente enquadrada por uma narrativa política.","Esta proposta terá um impacto de aumento nos gastos públicos. Ao determinar que as pensões mínimas devem ser ajustadas para corresponder à taxa de inflação efetiva, mesmo que esta seja superior à inicialmente prevista no Orçamento de Estado, implica que o governo terá de despender mais do que o orçamentado em cenários de subestimativa da inflação. Não afeta diretamente as receitas do governo. O efeito líquido será, portanto, um aumento da despesa pública, especialmente em anos de inflação mais alta do que a prevista.","Então, o PSD quer mudar a forma como as pensões mais baixinhas são aumentadas. A ideia é que, se a vida ficar mais cara (ou seja, se a inflação subir mais do que o governo pensava), as pensões mínimas não fiquem para trás e sejam aumentadas para compensar essa subida. Basicamente, é para que os reformados com menos dinheiro não percam poder de compra, como sentiram que aconteceu no passado, e para que não haja tantas diferenças entre quem recebe mais e quem recebe menos.","[4, 5]",Success,,Atualização das Pensões Mínimas Conforme Inflação Real,PSD,Success,,2025-06-12T15:40:45.757806
